"name"	"N"	"type"	"selectedFit"	"g"	"d"	"phi"
"160"	"1159"	9	"included"	"dx"	NA	0.034044213434401	NA
"161"	"116"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"162"	"1160"	9	"included"	"gd"	0.000408500509079101	0.0241190634968347	NA
"163"	"1161"	4	"excluded"	"not fit"	NA	NA	NA
"164"	"1162"	18	"included"	"gdphi"	0.000182951009679708	0.0174884249011188	0.999898149236607
"165"	"1165"	18	"included"	"gd"	0.000180857746131091	0.0135358401192565	NA
"166"	"1166"	2	"included"	"dx"	NA	0.00517136430406798	NA
"167"	"1167"	4	"included"	"gx"	0.00906869710642068	NA	NA
"168"	"1168"	9	"included"	"gd"	0.00139081328022325	0.028288231491524	NA
"169"	"1169"	15	"included"	"dx"	NA	0.117721947218117	NA
"170"	"117"	2	"included"	"dx"	NA	0.0111051314924265	NA
"171"	"1171"	15	"included"	"gd"	0.000218028410730159	0.0313275271573648	NA
"172"	"1172"	11	"included"	"gd"	0.00207193796109458	0.0211248165642885	NA
"173"	"1173"	13	"included"	"gd"	0.000973825839888158	0.0324320334255823	NA
"174"	"1175"	15	"included"	"gd"	0.00328865643061348	0.00961662462588998	NA
"175"	"1176"	13	"included"	"dx"	NA	0.00766685898626846	NA
"176"	"1177"	3	"included"	"gx"	0.025650897510014	NA	NA
"177"	"1179"	8	"included"	"gx"	0.00429023648180833	NA	NA
"178"	"1180"	2	"included"	"gx"	0.0261961947268119	NA	NA
"179"	"1181"	17	"included"	"gdphi"	0.000393834840106429	0.00577533964268446	0.999648466897422
"180"	"1182"	6	"included"	"gd"	0.00171050196248861	0.0336062181349594	NA
"181"	"1183"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"182"	"1184"	10	"included"	"dx"	NA	0.0202194273184087	NA
"183"	"1185"	3	"included"	"gd"	0.0131055804010126	0.0335963209445323	NA
"184"	"1186"	7	"included"	"gd"	0.00184546080997464	0.0397739494424411	NA
"185"	"1187"	3	"included"	"dx"	NA	0.0376205340213996	NA
"186"	"1188"	7	"included"	"gx"	0.00704806346726057	NA	NA
"187"	"1189"	3	"excluded"	"not fit"	NA	NA	NA
"188"	"119"	6	"included"	"gd"	0.00339726756690206	0.0152933457766226	NA
"189"	"1190"	8	"included"	"gd"	0.000656569475826619	0.0315968726007452	NA
"190"	"1191"	8	"included"	"dx"	NA	0.00739700270641281	NA
"191"	"1192"	6	"included"	"dx"	NA	0.013789523386398	NA
"192"	"1193"	11	"included"	"gd"	0.00145170893752471	0.0118445039779205	NA
"193"	"1194"	7	"included"	"gdphi"	0.00371984744690019	0.055808037024008	0.974325879059588
"194"	"1195"	10	"included"	"dx"	NA	0.00932332542408457	NA
"195"	"1196"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"196"	"1197"	6	"included"	"gx"	0.00198159256357344	NA	NA
"197"	"1198"	14	"included"	"gd"	0.000272210242277114	0.019882190897461	NA
"198"	"1199"	6	"included"	"dx"	NA	0.0137441121267105	NA
"199"	"12"	5	"included"	"dx"	NA	0.077949077428102	NA
"200"	"120"	10	"included"	"gx"	0.00415248897868831	NA	NA
"201"	"1200"	12	"included"	"gx"	0.00349885025396698	NA	NA
"202"	"1201"	17	"included"	"gx"	0.00163501743040092	NA	NA
"203"	"1202"	3	"included"	"gd"	0.0210140717940769	0.0400644980639978	NA
"204"	"1203"	5	"included"	"gd"	0.00820591712249133	0.0239566983782677	NA
"205"	"1204"	10	"included"	"gd"	0.00142555409957968	0.0272195103542153	NA
"206"	"1205"	14	"included"	"gd"	0.000249049822258791	0.0208416649969524	NA
"207"	"1206"	10	"included"	"gd"	0.000742743098445959	0.0192621213409812	NA
"208"	"1207"	5	"included"	"gx"	0.0766996423472117	NA	NA
"209"	"1208"	7	"included"	"gd"	0.00706995470097297	0.013327121894976	NA
"210"	"1209"	16	"included"	"gdphi"	0.000311841909084066	0.028809522056238	0.999885860994732
"211"	"121"	3	"included"	"gx"	0.0200606786529207	NA	NA
"212"	"1210"	6	"included"	"dx"	NA	0.00374317391256903	NA
"213"	"1211"	10	"included"	"gx"	0.00228389903973745	NA	NA
"214"	"1212"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"215"	"1213"	3	"included"	"dx"	NA	0.0241379626488182	NA
"216"	"1215"	7	"included"	"gx"	0.00542834916623401	NA	NA
"217"	"1216"	9	"included"	"gdphi"	7.50705556911967e-05	0.0093975527778812	0.999999112295332
"218"	"1217"	18	"included"	"gd"	0.000211395492808561	0.0179714918203132	NA
"219"	"1220"	6	"included"	"dx"	NA	0.00543108828968368	NA
"220"	"1221"	8	"included"	"gd"	0.00256863070544918	0.0239123704056512	NA
"221"	"1222"	6	"included"	"dx"	NA	0.0128689251175606	NA
"222"	"1224"	9	"included"	"dx"	NA	0.00563056264978983	NA
"223"	"1225"	10	"included"	"gdphi"	0.00333574313803553	0.0225201651947601	0.971396284606509
"224"	"1226"	2	"excluded"	"2 evals not 20% diff"	NA	NA	NA
"225"	"1228"	3	"included"	"gd"	0.0266217527325509	0.0252179665300194	NA
"226"	"1229"	12	"included"	"gdphi"	0.000228355024891551	0.0237554306257847	0.999964162464679
"227"	"123"	9	"included"	"dx"	NA	0.0048425260989059	NA
"228"	"1230"	9	"included"	"dx"	NA	0.0124636694261815	NA
"229"	"1231"	6	"included"	"gx"	0.00929171557631153	NA	NA
"230"	"1232"	9	"excluded"	"not fit"	NA	NA	NA
"231"	"1233"	4	"included"	"gx"	0.00677635320290244	NA	NA
"232"	"1235"	3	"included"	"dx"	NA	0.0143578496873854	NA
"233"	"1236"	5	"included"	"gd"	0.00111721730772449	0.0420062791840517	NA
"234"	"1237"	10	"included"	"dx"	NA	0.0116498380854628	NA
"235"	"1238"	12	"included"	"dx"	NA	0.00826842209752379	NA
"236"	"1239"	3	"included"	"dx"	NA	0.0431749325133159	NA
"237"	"124"	3	"included"	"gd"	0.0188878804571255	0.0157028387332736	NA
"238"	"1240"	9	"excluded"	"not fit"	NA	NA	NA
"239"	"1241"	7	"included"	"dx"	NA	0.0100493294854929	NA
"240"	"1242"	16	"excluded"	"not fit"	NA	NA	NA
"241"	"1243"	10	"included"	"dx"	NA	0.0170116635295946	NA
"242"	"1244"	15	"included"	"gd"	0.000450098021566713	0.0362332221194966	NA
"243"	"1245"	10	"included"	"dx"	NA	0.0186152843891771	NA
"244"	"1246"	3	"excluded"	"not fit"	NA	NA	NA
"245"	"1247"	4	"included"	"dx"	NA	0.010125704850171	NA
"246"	"1248"	2	"included"	"gx"	0.0403967170718601	NA	NA
"247"	"1249"	11	"included"	"gdphi"	0.00170805639641101	0.00511931311547007	0.996607855563886
"248"	"125"	4	"included"	"dx"	NA	0.0280113237787319	NA
"249"	"1250"	12	"included"	"gd"	0.000376146385196706	0.0140238779892804	NA
"250"	"1251"	9	"included"	"gd"	0.00194325308480217	0.0135027750850728	NA
